name,rating,address,phone,website,pluscode,hours,category,claimed,socialLinks,maps,keyword
Yara Indonesia,4.8,"South Quarter - Tower C, Jl. R.A. Kartini Jl. Mandor Hasan No.8 5th Floor Unit D, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia",+62 21 22722011,yara.id,"PQ4M+6X West Cilandak, South Jakarta City, Jakarta, Indonesia",Hours,Privacy,true,,"https://www.google.com/maps/place/Yara+Indonesia/@-6.2943983,106.6407235,12z/data=!4m10!1m2!2m1!1surea+fertilizer+importer+Jakarta+Indonesia!3m6!1s0x2e69f1060a281fcf:0x7bf74ebc327bc9e9!8m2!3d-6.2943983!4d106.7849191!15sCip1cmVhIGZlcnRpbGl6ZXIgaW1wb3J0ZXIgSmFrYXJ0YSBJbmRvbmVzaWGSARNmZXJ0aWxpemVyX3N1cHBsaWVy4AEA!16s%2Fg%2F11nnsgj_s_?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",urea fertilizer importer Jakarta Indonesia
PT Bio Agromitra Indonesia,4.8,"Jl. Salak No.38, RT.6/RW.2, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980, Indonesia",+62 21 22907112,biokonversi.com,"QRRM+J7 Guntur, South Jakarta City, Jakarta, Indonesia",Hours,Privacy,true,,"https://www.google.com/maps/place/PT+Bio+Agromitra+Indonesia/@-6.2084106,106.6889913,12z/data=!4m10!1m2!2m1!1surea+fertilizer+importer+Jakarta+Indonesia!3m6!1s0x2e69f1c83c20a0d5:0xa8d8424ad1380729!8m2!3d-6.2084106!4d106.8331869!15sCip1cmVhIGZlcnRpbGl6ZXIgaW1wb3J0ZXIgSmFrYXJ0YSBJbmRvbmVzaWGSARNmZXJ0aWxpemVyX3N1cHBsaWVy4AEA!16s%2Fg%2F11h7ftr00j?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",urea fertilizer importer Jakarta Indonesia
Pupuk Organik Medan (Medan Organic Fertilizer).,5.0,"Jl. Wakaf No.18, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235, Indonesia",+62 813-6060-1961,,"JM58+2H Sei Agul, Medan City, North Sumatra, Indonesia",Hours,Send Product Feedback,false,,"https://www.google.com/maps/place/Pupuk+Organik+Medan+(Medan+Organic+Fertilizer)./@3.6075679,98.6304327,14z/data=!4m10!1m2!2m1!1surea+fertilizer+importer+Medan+Indonesia!3m6!1s0x303131e4645c7d0f:0x860867b6c7ff2622!8m2!3d3.6075679!4d98.6664816!15sCih1cmVhIGZlcnRpbGl6ZXIgaW1wb3J0ZXIgTWVkYW4gSW5kb25lc2lhkgETZmVydGlsaXplcl9zdXBwbGllcuABAA!16s%2Fg%2F11f_wbcndn?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",urea fertilizer importer Medan Indonesia
PT. FERTA INDONESIA PERSADA,5.0,"office tower, Jl. Perintis Kemerdekaan Jl. Komp. Jati Junction No.818 Lt 8, Perintis, Medan Timur, Medan City, North Sumatra 20231, Indonesia",+62 61 4553299,ferta.asia,"HMWH+FQ Perintis, Medan City, North Sumatra, Indonesia",Hours,Collapse side panel,false,,"https://www.google.com/maps/place/PT.+FERTA+INDONESIA+PERSADA/@3.5962425,98.6434296,14z/data=!4m10!1m2!2m1!1surea+fertilizer+importer+Medan+Indonesia!3m6!1s0x303131caafc427fd:0x4a9fd0617f41632c!8m2!3d3.5962425!4d98.6794785!15sCih1cmVhIGZlcnRpbGl6ZXIgaW1wb3J0ZXIgTWVkYW4gSW5kb25lc2lhkgETZmVydGlsaXplcl9zdXBwbGllcuABAA!16s%2Fg%2F11rzgw92wk?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",urea fertilizer importer Medan Indonesia
Agro United,4.0,"Jl. Garuda Raya No.68, Tegal Sari Mandala II, Kec. Medan Denai, Kota Medan, Sumatera Utara 20224, Indonesia",,agrounited.wordpress.com,"HPPH+MJ Tegal Sari Mandala II, Medan City, North Sumatra, Indonesia",,Send Product Feedback,false,,"https://www.google.com/maps/place/Agro+United/@3.5971035,98.6977597,14z/data=!4m10!1m2!2m1!1surea+fertilizer+importer+Medan+Indonesia!3m6!1s0x30313123b3a8d5c9:0x704b67c3a74490a1!8m2!3d3.586639!4d98.7290379!15sCih1cmVhIGZlcnRpbGl6ZXIgaW1wb3J0ZXIgTWVkYW4gSW5kb25lc2lh4AEA!16s%2Fg%2F11h54zp423?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",urea fertilizer importer Medan Indonesia
